Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Original Input3,Original Input12,Average Input
1.473,2.311,-1.1078940962975032,2.666,0.28,0.277,0.223,0.186,0.254,1.138,1.111,0.02296819787985882,3.179,4.712,0.7361728417985297
1.46,2.377,-1.0784447959200134,2.92,0.253,0.306,0.026,0.196,0.303,1.213,1.027,0.6863957597173149,3.214,5.463,0.8074125803164417
1.552,2.164,-1.204656083252112,2.745,0.282,0.21,0.172,0.193,0.21,1.221,1.058,0.5706713780918733,3.064,5.332,0.7644179412366469
1.605,2.228,-1.1331363537639227,2.834,0.292,0.361,0.209,0.129,0.273,1.144,1.062,0.12632508833922262,3.149,4.829,0.7608490612146083
1.534,2.114,-0.9985109806096841,2.976,0.21,0.25,0.226,0.177,0.204,1.254,1.112,0.9257950530035339,3.309,5.734,0.8320236726994873
1.796,2.262,-1.1070526877152889,2.888,0.297,0.148,0.162,0.282,0.204,1.172,1.03,0.15459363957597194,3.18,4.861,0.7740450793217235
1.566,2.323,-0.8638856074554458,2.711,0.242,0.054,0.211,-0.027,0.22,1.158,0.992,0.08303886925795112,3.469,4.78,0.7224294384835422
1.425,2.152,-1.0170219694183922,2.781,0.299,0.208,0.104,0.115,0.27,1.271,1.115,0.8621908127208489,3.287,5.662,0.7987640702752047
1.595,2.271,-0.9867312604586884,2.743,0.173,0.196,0.168,0.059,0.205,1.29,1.033,0.40547703180212036,3.323,5.145,0.762645480945286
1.628,2.211,-1.1104183220441448,2.71,0.084,0.189,0.278,0.168,0.349,1.155,1.008,0.8189045936395773,3.176,5.613,0.7907071892996193
1.583,2.253,-1.024594646658318,2.854,0.149,0.11,0.228,0.073,0.217,1.135,1.112,0.7623674911660787,3.278,5.549,0.7876477370423135
1.454,2.277,-0.9875726690409024,2.866,0.302,0.283,0.212,0.156,0.264,1.14,1.229,0.21466431095406424,3.322,4.929,0.7841743034927635
1.617,2.183,-1.0683478929334456,2.71,0.122,0.256,0.016,0.14,0.286,1.255,1.033,0.6095406360424036,3.226,5.376,0.7632660619257464
1.482,2.344,-1.1062112791330752,2.894,0.234,0.178,0.231,0.205,0.264,0.956,1.086,0.41607773851590135,3.181,5.157,0.765322204948569
1.443,2.26,-1.138184805257207,2.705,0.281,0.096,0.193,0.22,0.234,1.133,1.083,0.8471731448763249,3.143,5.645,0.7797490283015932
1.477,2.349,-1.2601890496782353,2.994,0.247,0.195,0.179,0.093,0.042,1.227,1.075,0.8833922261484108,2.998,5.686,0.7917669313725146
1.527,2.206,-0.9875726690409024,2.892,0.21,0.146,0.095,0.165,0.193,1.222,1.071,0.45406360424028325,3.322,5.2,0.7661242445999482
1.599,2.296,-0.8891278649218654,2.662,0.201,0.194,0.227,0.134,0.088,1.183,1.118,0.5989399293286226,3.439,5.364,0.7843176720338964
1.587,2.308,-0.9522335085879149,2.866,0.262,0.162,0.102,0.225,0.299,1.218,1.158,0.05742049469964705,3.364,4.751,0.774348915509311
1.521,2.366,-1.0877002903243673,2.986,0.217,0.271,0.177,0.131,0.284,1.243,1.006,0.3268551236749122,3.203,5.056,0.7867629027792121
1.562,2.258,-0.9951453462808282,2.654,0.165,0.158,0.181,0.177,0.376,1.117,1.086,0.6687279151943466,3.313,5.443,0.7839652140761265
1.438,2.57,-1.116308182119643,2.77,0.128,0.093,0.16,0.068,0.28,1.345,1.056,0.5839222614840995,3.169,5.347,0.7813011732803713
1.406,2.239,-1.1524887511548447,2.939,0.362,0.199,0.153,0.17,0.188,1.129,1.083,0.584805653710248,3.126,5.348,0.7750264085462836
1.644,2.317,-1.0742377530089435,2.542,0.328,0.178,0.277,0.155,0.231,1.194,1.046,0.25265017667844614,3.219,4.972,0.7575343686391252
1.378,2.375,-1.1937177716833303,2.708,0.404,0.221,0.12,0.189,0.225,1.141,1.069,0.9169611307420507,3.077,5.724,0.7961036132548934
1.537,2.379,-0.9900968947875444,2.772,0.221,0.216,0.303,0.161,0.255,1.13,1.007,0.5167844522968199,3.319,5.271,0.7923072964591062
1.583,2.33,-0.9951453462808282,2.811,0.225,0.166,0.189,0.0,0.222,1.191,1.121,0.45936395759717374,3.313,5.206,0.7751848842763621
1.527,2.103,-1.1524887511548447,2.848,0.214,0.205,0.19,0.104,0.232,1.248,1.007,0.8295053003533575,3.126,5.625,0.7795847124332095
1.819,2.39,-1.125563676523997,2.511,0.272,0.136,0.172,0.093,0.106,1.125,1.03,0.584805653710248,3.158,5.348,0.7594368314321875
1.573,2.368,-1.01449774367175,2.869,0.156,0.252,0.239,0.101,0.249,1.184,0.972,0.5918727915194353,3.29,5.356,0.7950312539873071
1.516,2.358,-1.1482817082437748,2.816,0.151,0.154,0.233,0.149,0.182,1.205,1.053,0.292402826855124,3.131,5.017,0.7467600932176124
1.63,2.267,-1.1289293108528529,2.919,0.303,0.139,0.118,0.204,0.068,1.095,0.973,0.2950530035335692,3.154,5.02,0.7401769743900597
1.497,2.279,-1.1053698705508612,2.947,0.282,0.183,0.236,0.127,0.27,1.195,1.101,0.45848056537102533,3.182,5.205,0.7891758912350136
1.688,2.366,-0.9640132287389106,3.043,0.252,0.168,0.238,0.156,0.366,1.187,1.094,0.5689045936395765,3.35,5.33,0.8469076137417221
1.741,2.273,-1.0632994414401613,3.059,0.158,0.205,0.222,0.165,0.258,1.251,1.016,0.6148409893992932,3.232,5.382,0.824961795663261
1.703,2.247,-0.9497092828412728,3.052,0.276,0.074,0.176,0.122,0.236,1.2,1.079,0.6572438162544172,3.367,5.43,0.822711211117762
2.643,2.142,-0.8689340589487295,3.121,0.227,0.271,0.178,0.071,0.221,1.201,1.102,0.8754416961130742,3.463,5.677,0.9319589697636955
3.151,2.317,-0.9581233686634125,3.575,0.16,0.082,0.266,0.181,0.199,1.107,1.051,0.05300353356890497,3.357,4.746,0.9319900137421243
3.923,2.207,-0.565185560769479,4.642,0.67,0.319,0.496,0.214,0.433,1.167,0.912,0.42756183745583076,3.824,5.17,1.2371146897238627
4.102,2.019,0.24004245240931016,5.681,1.282,0.426,0.852,0.364,0.826,1.251,1.205,0.4575971731448769,4.781,5.204,1.5588033021295153
4.435,2.086,0.18366807740097335,5.864,1.707,0.737,0.791,0.468,1.467,1.467,1.31,0.9434628975265023,4.714,5.754,1.788260914577289
4.103,1.963,0.6573811091874501,5.878,1.842,0.97,0.875,0.535,1.912,1.81,2.312,0.20848056537102444,5.277,4.922,1.9221551395465397
4.457,1.788,0.8349183200346023,5.916,2.103,1.232,1.025,0.566,2.081,3.182,5.317,0.349823321554771,5.488,5.082,2.404311803465781
4.515,1.779,0.9628124245311284,5.953,2.219,1.401,1.147,0.474,2.206,5.111,5.526,0.7871024734982335,5.64,5.577,2.6734095748357802
4.258,1.761,1.078926808876659,5.916,2.175,1.602,1.058,0.598,2.228,5.15,5.244,0.6431095406360425,5.778,5.414,2.6426696957927254
4.493,1.698,1.0536845514102398,5.886,2.383,1.676,1.202,0.408,2.456,5.004,5.393,0.008833922261484162,5.748,4.696,2.638459872805977
4.563,1.627,1.0764025831300177,5.979,2.294,1.848,0.977,0.656,2.311,5.061,5.503,0.951413427561838,5.775,5.763,2.7372346675576544
4.392,1.51,0.6556982920230222,5.972,2.551,1.915,1.184,0.562,2.307,5.0,5.447,0.9567137809187285,5.275,5.769,2.704367672745146
4.409,1.44,0.810517471150396,5.972,2.482,2.002,1.007,0.577,2.382,5.198,5.463,0.6130742049469973,5.459,5.38,2.6962993063414493
4.398,1.539,0.7911650737594744,5.962,2.573,2.04,1.013,0.703,2.462,5.105,5.261,0.34452296819787964,5.436,5.076,2.682640670163113
4.441,1.538,0.753301687559845,5.959,2.616,2.136,1.195,0.631,2.561,5.105,5.538,0.14840989399293303,5.391,4.854,2.7184759651293984
4.419,1.458,1.1024862491786511,5.886,2.572,2.029,1.244,0.656,2.395,5.106,5.403,0.7455830388692588,5.806,5.53,2.751339107337325
4.578,1.421,0.7499360532309886,5.975,2.754,2.129,1.144,0.798,2.468,5.087,5.426,0.40017667844523075,5.387,5.139,2.744176060973018
4.562,1.345,1.1176316036585028,5.948,2.507,2.118,1.162,0.513,2.346,5.125,5.321,0.3153710247349828,5.824,5.043,2.698333552366124
4.427,1.167,0.8988653722828653,5.963,2.603,2.203,1.113,0.7,2.394,5.002,5.424,0.6289752650176679,5.564,5.398,2.7103200531083775
4.57,1.323,0.7608743647997711,5.977,2.527,2.108,0.935,0.644,2.448,5.033,5.566,0.06625441696113121,5.4,4.761,2.6631773984800753
4.443,1.284,0.7608743647997711,5.907,2.524,2.183,1.198,0.59,2.5,5.074,5.492,0.7323321554770317,5.4,5.515,2.7240172100230673
4.421,1.348,1.1353011838849965,5.911,2.483,2.183,1.14,0.779,2.393,5.155,5.548,0.733215547703181,5.845,5.516,2.769126394299015
4.526,1.177,1.0528431428280256,5.896,2.365,2.009,1.266,0.697,2.468,5.144,5.309,0.0,5.747,4.686,2.659153595235669
4.52,1.097,0.9358873499002807,6.011,2.555,2.217,1.21,0.602,2.422,5.088,5.385,0.7181978798586579,5.608,5.499,2.730090435813245
4.348,1.116,0.9745921446821244,5.956,2.478,2.257,1.217,0.641,2.336,5.071,5.616,0.9063604240282688,5.654,5.712,2.743079380725866
4.705,1.207,0.9787991875931943,5.931,2.583,2.231,1.145,0.746,2.505,5.062,5.297,0.9575971731448769,5.659,5.77,2.7790330300615054
4.615,1.224,0.9745921446821244,6.011,2.488,2.2,1.147,0.548,2.532,5.009,5.314,0.7367491166077738,5.654,5.52,2.7332784384408253
4.373,1.079,1.0898651204454415,5.927,2.516,2.123,1.156,0.558,2.469,4.988,5.38,0.9328621908127213,5.791,5.742,2.71597727593818
4.507,1.078,0.7389977416622068,5.906,2.48,2.233,1.118,0.7,2.399,5.063,5.414,0.584805653710248,5.374,5.348,2.6851502829477045
4.443,1.03,1.0747197659655892,5.951,2.489,2.106,1.115,0.51,2.406,5.154,5.482,0.7226148409893991,5.773,5.504,2.706944550579582
4.702,1.111,1.0536845514102398,6.013,2.529,2.109,1.146,0.612,2.471,5.01,5.409,0.9284452296819792,5.748,5.737,2.757844148424351
4.592,1.144,0.8088346539859682,5.876,2.294,2.189,1.169,0.549,2.379,5.046,5.273,0.6722614840989403,5.457,5.447,2.666008011507076
4.67,1.127,0.9358873499002807,5.925,2.362,2.292,1.116,0.515,2.537,5.148,5.438,0.643992932862191,5.608,5.415,2.7258233568968726
4.43,1.075,1.1554949898581324,5.874,2.458,2.037,1.117,0.638,2.283,5.081,5.599,0.7234982332155484,5.869,5.505,2.705916101922807
4.498,1.056,1.0822924432055154,5.89,2.432,2.159,1.199,0.69,2.415,5.083,5.251,0.6475265017667846,5.782,5.419,2.7002349120810254
4.637,1.08,0.9830062305042642,5.931,2.399,2.061,1.104,0.569,2.466,5.267,5.269,0.15636042402826966,5.664,4.863,2.6601972212110447
4.562,1.167,0.8180901483903221,5.985,2.483,2.109,1.201,0.56,2.411,5.067,5.51,0.3197879858657249,5.468,5.048,2.6827398445213375
4.576,1.067,0.9358873499002807,5.906,2.4,2.073,1.152,0.703,2.262,4.939,5.453,0.14399293286219095,5.608,4.849,2.6342400235635393
4.677,1.089,1.1369840010494252,5.937,2.38,2.058,1.144,0.643,2.256,5.146,5.508,0.5459363957597176,5.847,5.304,2.7100766997340955
4.482,1.028,0.7297422472578535,5.924,2.268,2.114,1.108,0.648,2.355,5.126,5.425,0.29593639575971764,5.363,5.021,2.625306553584798
4.55,0.978,0.914010726762717,5.947,2.544,2.068,1.118,0.558,2.354,4.973,5.339,0.760600706713781,5.582,5.547,2.675300952789708
4.446,1.066,0.7978963424171863,5.929,2.361,2.111,1.036,0.681,2.423,5.024,5.288,0.7941696113074208,5.444,5.585,2.6630888294770507
4.612,1.063,1.109217517836363,5.9,2.379,2.141,1.068,0.579,2.288,5.132,5.269,0.7508833922261484,5.814,5.536,2.6909250758385426
4.563,0.918,0.7844338051017625,5.891,2.34,1.954,1.068,0.635,2.41,5.033,5.347,0.11749116607773846,5.428,4.819,2.5884104142649584
4.529,0.983,0.7625571819641989,5.895,2.39,2.097,1.097,0.577,2.375,5.11,5.524,0.5591872791519439,5.402,5.319,2.6582287050930113
4.711,0.963,1.0435876484236715,5.897,2.371,2.068,0.972,0.612,2.422,5.029,5.354,0.9204946996466434,5.736,5.728,2.6969235290058595
4.485,1.002,1.0006758107307578,5.937,2.307,2.065,1.046,0.536,2.33,5.005,5.399,0.20848056537102444,5.685,4.922,2.6100963646751487
4.645,0.884,0.7415219674088488,5.803,2.393,2.108,1.028,0.612,2.393,5.192,5.266,0.16961130742049502,5.377,4.878,2.6029277729024454
4.595,1.084,1.0393806055126016,5.874,2.299,2.05,1.056,0.615,2.363,5.0,5.255,1.0,5.731,5.818,2.6858650504593835
4.504,0.852,0.9670194674421982,5.914,2.334,2.107,1.099,0.53,2.198,4.923,5.359,0.12279151943462985,5.645,4.825,2.575817582239736
4.44,1.047,0.7087070327025035,5.861,2.301,2.144,0.948,0.586,2.336,5.133,5.509,0.2349823321554778,5.338,4.952,2.6040574470714986
4.432,0.938,1.170640344337984,5.868,2.352,2.096,0.973,0.597,2.363,5.131,5.476,0.9363957597173158,5.887,5.746,2.694419675337942
4.54,1.005,0.9922617249086182,5.862,2.231,2.01,1.101,0.691,2.371,5.01,5.276,0.7084805653710253,5.675,5.488,2.649811857523304
4.656,1.029,0.9729093275176967,5.916,2.341,2.08,1.021,0.681,2.311,4.998,5.293,0.8754416961130742,5.652,5.677,2.6811959186358973
4.636,0.926,0.9611296073667006,5.854,2.29,2.072,1.006,0.571,2.324,5.156,5.53,0.49293286219081267,5.638,5.244,2.651588539129793
4.425,0.953,0.9779577790109808,5.859,2.308,2.142,1.068,0.481,2.349,5.162,5.411,0.557420494699647,5.658,5.317,2.6411148561425524
4.49,0.967,0.7810681707729069,5.916,2.288,2.025,1.024,0.526,2.301,5.247,5.417,0.45494699646643166,5.424,5.201,2.619751263936612
4.562,1.003,0.7793853536084784,5.847,2.139,2.036,1.005,0.581,2.361,4.923,5.291,0.7553003533568914,5.422,5.541,2.6068904755804474
4.65,0.996,0.9594467902022727,5.813,2.096,2.155,1.023,0.507,2.275,5.039,5.344,0.07862190812720904,5.636,4.775,2.5780057248607906
4.617,1.016,0.8155659226436801,5.864,2.223,1.991,0.997,0.663,2.394,5.133,5.461,0.7667844522968208,5.465,5.554,2.6617791979117085
4.546,0.964,0.9224248125848568,5.933,2.263,2.039,1.133,0.579,2.288,4.913,5.309,0.828621908127209,5.592,5.624,2.643170560059339
4.362,0.968,1.02423525103275,5.82,2.244,2.015,1.066,0.553,2.308,5.084,5.45,0.7835689045936407,5.713,5.573,2.639817012968866
